,name,price,discount_price,total_sell,revenue,category,subcategory,sale_type
182,Quick-Dry Box - Không ngại vận động - thương hiệu Coolmate,438000,438000,8,3504000,other,none,single
183,Áo thun Marvel The Armored Avenger- thương hiệu Coolmate,299000,299000,48,14352000,shirt,tshirt,single
184,Áo thun Marvel Spider Man To The Rescue - thương hiệu Coolmate,299000,299000,35,10465000,shirt,tshirt,single
185,"Proudly | Áo thun Cotton Compact ""See me: Spinning"" in nét chính giữa - thương hiệu Coolmate",269000,269000,5,1345000,shirt,tshirt,single
186,Promax Box - Bứt phá mọi giới hạn - thương hiệu Coolmate,437000,437000,5,2185000,other,none,single
187,Áo thun Cotton Compact in Care&Share phiên bản Văn Phòng - thương hiệu Coolmate,259000,259000,4,1036000,shirt,tshirt,single
188,Áo thun Marvel Changing World - thương hiệu Coolmate,299000,299000,18,5382000,shirt,tshirt,single
189,Áo thun in save the future CLEAN VIETNAM - màu Đen - thương hiệu Coolmate,299000,299000,46,13754000,shirt,tshirt,single
190,Áo thun in Heal The World Clean Vietnam co giãn 4 chiều - màu Xanh Forest - thương hiệu Coolmate,299000,299000,66,19734000,shirt,tshirt,single
191,Áo thun Marvel Graphics Avengers - thương hiệu Coolmate,299000,299000,4,1196000,shirt,tshirt,single
192,Áo thun Cotton Compact Care & Share phiên bản Line Print - mẫu tử - thương hiệu Coolmate,259000,259000,28,7252000,shirt,tshirt,single
193,"Áo thun Marvel Thor ""I choose Worthiness"" - thương hiệu Coolmate",299000,299000,3,897000,shirt,tshirt,single
194,[ Quà Tặng ] Mũ Nón lưỡi trai baseball MÀU ĐEN phối lưới thoáng khí - thương hiệu Coolmate,159000,159000,3,477000,hat,none,single
195,Áo thun Cotton Compact in Care&Share phiên bản Cầu Vồng - thương hiệu Coolmate,259000,259000,2,518000,shirt,tshirt,single
196,Áo thun Cotton Compact in Care&Share phiên bản Mặt Trời - thương hiệu Coolmate,259000,259000,2,518000,shirt,tshirt,single
197,Áo thun Marvel Ironman Tony Stark - thương hiệu Coolmate,299000,299000,2,598000,shirt,tshirt,single
198,"Proudly | Áo thun Cotton Compact ""Factory"" in màu - thương hiệu Coolmate",269000,269000,2,538000,shirt,tshirt,single
199,Áo thun in Love More CLEAN VIETNAM - màu Đen - thương hiệu Coolmate,299000,299000,27,8073000,shirt,tshirt,single
200,Áo thun Marvel Spider Man Sense - thương hiệu Coolmate,299000,299000,31,9269000,shirt,tshirt,single
201,Áo thun Marvel Bring the thunder - thương hiệu Coolmate,299000,299000,15,4485000,shirt,tshirt,single
202,Áo thun in Peace CLEAN VIETNAM - màu Đen - thương hiệu Coolmate,299000,299000,4,1196000,shirt,tshirt,single
203,"Proudly | Áo thun Cotton Compact ""See me: Sewing"" in nét - thương hiệu Coolmate",269000,269000,1,269000,shirt,tshirt,single
204,Áo thun Cotton Compact in Care&Share phiên bản Hoa - thương hiệu Coolmate,259000,259000,1,259000,shirt,tshirt,single
205,Áo thun Marvel Captain America Quote -  thương hiệu Coolmate,299000,299000,19,5681000,shirt,tshirt,single
206,"Proudly | Áo thun Cotton Compact ""See me: Weaving"" in màu - thương hiệu Coolmate",269000,269000,0,0,shirt,tshirt,single
207,"[HỘP QUÀ BÍ MẬT 10.10] - Nhận 2 trong 3 sản phẩm (Áo polo Excool, Áo polo USA, Áo sơ mi Excool) thương hiệu Coolmate",1147000,1147000,0,0,shirt,shirt,single
208,Băng tay thể thao Coolmate,29000,29000,257,7453000,other,none,single
209,"Proudly | Áo thun Cotton Compact ""See me: Spinning"" in màu - thương hiệu Coolmate",269000,269000,0,0,shirt,tshirt,single
210,Áo thun Printed Venom V2 - thương hiệu Coolmate,299000,299000,0,0,shirt,tshirt,single
211,Áo khoác nỉ nam For Winter (có mũ trùm tiện lợi) - thương hiệu Coolmate,499000,499000,1,499000,shirt,other,single
212,Áo ba lỗ Cotton 100% Coolmate Basics V2 màu XANH NAVY - thương hiệu coolmate,89000,89000,0,0,shirt,other,single
213,Áo thun Cotton Compact in WE ARE SO COOL - thương hiệu Coolmate,289000,289000,0,0,shirt,tshirt,single
