name,price,discount_price,total_sell,revenue
Áo thun nam dài tay cổ trụ Prime Henley Cotton Compact Premium thương hiệu Coolmate,269000,199000,7200,1936800000
Áo thun nam IN COOLMATE Cotton Compact phiên bản Premium,259000,219000,5600,1450400000
"Combo 3 quần sịp tam giác Cotton đen, xám, xanh ghi Coolmate TG-DXXg",219000,199000,4000,876000000
Quần lót nam dáng Trunk Bamboo kháng khuẩn thương hiệu Coolmate,99000,99000,4700,465300000
"Combo dùng thử quần lót nam Trunk 3 chất liệu Cotton, Modal, Bamboo thương hiệu Coolmate",283000,199000,9400,2660200000
"Combo dùng thử quần lót TAM GIÁC nam 3 chất liệu Cotton, Modal, Bamboo thương hiệu Coolmate",209000,149000,12200,2549800000
Combo 5 quần lót nam tam giác Cotton thương hiệu Coolmate (ngẫu nhiên 2-3 màu),400000,299000,11300,4520000000
Combo 3 quần lót nam Brief Boxer Bamboo kháng khuẩn Coolmate,349000,279000,6200,2163800000
Quần lót nam Trunk Modal vải sợi gỗ sồi thương hiệu Coolmate,139000,99000,3300,458700000
Combo 3 quần lót TAM GIÁC nam BRIEF MODAL (gỗ sồi) mềm mại thương hiệu Coolmate,229000,219000,3600,824400000
Set 3 quần lót nam Brief Boxer Modal (gỗ sồi) thoáng mát khử mùi thương hiệu Coolmate,299000,279000,2300,687700000
Combo 2 quần thể thao nam Ultra Short có túi khóa kéo thương hiệu Coolmate,378000,378000,1800,680400000
Quần lót tam giác nam Brief Cotton co giãn thương hiệu Coolmate,73000,73000,2900,211700000
Tất thể thao nam Techfit co giãn thoáng khí thương hiệu Coolmate,49000,39000,5900,289100000
Quần lót nam tam giác Brief Bamboo kháng khuẩn Coolmate,83000,83000,4900,406700000
Combo 2 áo thun nam Cotton Compact phiên bản Premium chống nhăn thương hiệu Coolmate,518000,518000,1300,673400000
Áo thun nam in Care&Share bên trái Cotton Compact  thương hiệu Coolmate,259000,259000,896,232064000
Quần lót nam Trunk Cotton Compact siêu mát S2 thương hiệu Coolmate,99000,99000,5200,514800000
Áo thun nam 100% Cotton Coolmate Basics màu ĐEN thương hiệu Coolmate,119000,119000,1000,119000000
Áo thun nam 100% Cotton Coolmate Basics màu TRẮNG thương hiệu Coolmate,119000,119000,1700,202300000
Áo thun nam Cotton Compact Premium chống nhăn màu ĐEN Coolmate,239000,239000,1100,262900000
Combo 03 quần lót nam New Trunk Cotton Compact co giãn - màu đen thương hiệu Coolmate,289000,289000,1100,317900000
Áo thun nam 100% Cotton Coolmate Basics màu CACAO thương hiệu Coolmate,119000,119000,1500,178500000
Áo thun nam in Care&Share Cotton Compact Premium (chính giữa) thương hiệu Coolmate,259000,259000,718,185962000
Áo thun nam 100% Cotton Coolmate Basics màu XANH BIỂN thương hiệu Coolmate,119000,119000,1300,154700000
Combo 3 quần lót nam Trunk Cotton Compact siêu mát S2 thương hiệu Coolmate,289000,289000,3300,953700000
"Áo giữ nhiệt nam Modal Ultra Warm siêu ấm, thoáng khí - thương hiệu Coolmate",289000,289000,3900,1127100000
QUÀ TẶNG Bình giữ nhiệt in Logo Coolmate,299000,299000,2800,837200000
Combo 2 quần lót nam Trunk chất liệu Cotton và Bamboo kháng khuẩn thương hiệu Coolmate,189000,159000,2100,396900000
"Áo thun nam Cotton Compact in ""I AM LIMITED""  phản quang - Màu đen thương hiệu Coolmate",259000,259000,1400,362600000
Áo thun nam Cotton Compact phiên bản Premium chống nhăn màu trắng Coolmate,259000,259000,819,212121000
Quần THỂ THAO nam Jogger đai chun co giãn Coolmate,279000,279000,2600,725400000
Áo thun nam Cotton Compact phiên bản Premium chống nhăn màu XANH NAVY Coolmate,259000,239000,335,86765000
Áo thun nam 100% Cotton Coolmate Basics màu RÊU BỤI thương hiệu Coolmate,119000,119000,1400,166600000
"Áo thun nam 100% Cotton in "" Paradox ""  màu đen - thương hiệu Coolmate",119000,119000,1600,190400000
"Áo thun nam 100% Cotton in "" FAMILY"" - Màu đen thương hiệu Coolmate:",119000,119000,1300,154700000
Túi tote vải Canvas tiện lợi Care & Share - thương hiệu Coolmate,119000,119000,89,10591000
